Date,Price,Open,High,Low,Volume,Chg%
Sep 2010,6029.95,5403.05,6073.50,5403.05,3.61M,11.62%
Aug 2010,5402.40,5369.55,5549.80,5348.90,3.21M,0.65%
Jul 2010,5367.60,5312.05,5477.50,5225.60,3.34M,1.04%
Jun 2010,5312.50,5086.25,5366.75,4961.05,4.04B,4.45%
May 2010,5086.30,5278.40,5278.70,4786.45,3.92B,-3.63%
Apr 2010,5278.00,5249.20,5399.65,5160.90,3.15B,0.55%
Mar 2010,5249.10,4935.60,5329.55,4935.35,3.42B,6.64%
Feb 2010,4922.30,4882.05,4992.00,4675.40,3.56B,0.82%
Jan 2010,4882.05,5200.90,5310.85,4766.00,3.88B,-6.13%
Dec 2009,5201.05,5039.70,5221.85,4943.95,4.39B,3.35%
Nov 2009,5032.70,4712.25,5138.00,4538.50,5.19B,6.81%
Oct 2009,4711.70,5087.20,5181.95,4687.50,4.89B,-7.32%
Sep 2009,5083.95,4662.20,5087.60,4576.60,4.68B,9.05%
Aug 2009,4662.10,4633.80,4743.75,4353.45,5.34B,0.55%
Jul 2009,4636.45,4292.30,4669.75,3918.75,7.01B,8.05%
Jun 2009,4291.10,4450.40,4693.20,4143.25,7.98B,-3.55%
May 2009,4448.95,3478.70,4509.40,3478.70,7.14B,28.07%
Apr 2009,3473.95,3023.85,3517.25,2965.70,6.43B,15.00%
Mar 2009,3020.95,2764.60,3123.35,2539.45,5.34B,9.31%
Feb 2009,2763.65,2872.35,2969.75,2677.55,3.95B,-3.87%
Jan 2009,2874.80,2963.30,3147.20,2661.65,6.11B,-2.85%
Dec 2008,2959.15,2755.15,3110.45,2570.70,6.35B,7.41%
Nov 2008,2755.10,2885.40,3240.55,2502.90,4.55B,-4.52%
Oct 2008,2885.60,3921.85,4000.50,2252.75,4.87B,-26.41%
Sep 2008,3921.20,4356.10,4558.00,3715.05,3.09B,-10.06%
Aug 2008,4360.00,4331.60,4649.85,4201.85,2.36B,0.62%
Jul 2008,4332.95,4039.75,4539.45,3790.20,3.62B,7.24%
Jun 2008,4040.55,4869.25,4908.80,4021.70,3.04B,-17.03%
May 2008,4870.10,5265.30,5298.85,4801.90,2.88B,-5.73%
